pin,slack
Fast_clk_SW1/cnt_RNIMPT37[1]:P,11587
Fast_clk_SW1/cnt_RNIMPT37[1]:S,12571
Fast_clk_SW1/cnt_RNIMPT37[1]:UB,16061
Initial_blinking_SW2/cnt_RNIPK6I7[4]:A,
Initial_blinking_SW2/cnt_RNIPK6I7[4]:B,12558
Initial_blinking_SW2/cnt_RNIPK6I7[4]:C,15955
Initial_blinking_SW2/cnt_RNIPK6I7[4]:CC,13109
Initial_blinking_SW2/cnt_RNIPK6I7[4]:P,
Initial_blinking_SW2/cnt_RNIPK6I7[4]:S,12558
Initial_blinking_SW2/cnt_RNIPK6I7[4]:UB,15955
Initial_blinking_SW1/cnt[22]:ADn,
Initial_blinking_SW1/cnt[22]:ALn,16180
Initial_blinking_SW1/cnt[22]:CLK,13525
Initial_blinking_SW1/cnt[22]:D,11182
Initial_blinking_SW1/cnt[22]:EN,
Initial_blinking_SW1/cnt[22]:LAT,
Initial_blinking_SW1/cnt[22]:Q,13525
Initial_blinking_SW1/cnt[22]:SD,
Initial_blinking_SW1/cnt[22]:SLn,
Fast_clk_SW2/cnt_RNIPUU6U1[18]:A,
Fast_clk_SW2/cnt_RNIPUU6U1[18]:B,11859
Fast_clk_SW2/cnt_RNIPUU6U1[18]:C,16229
Fast_clk_SW2/cnt_RNIPUU6U1[18]:CC,11544
Fast_clk_SW2/cnt_RNIPUU6U1[18]:P,11859
Fast_clk_SW2/cnt_RNIPUU6U1[18]:S,11544
Fast_clk_SW2/cnt_RNIPUU6U1[18]:UB,16229
Fast_clk_SW1/cnt[14]:ADn,
Fast_clk_SW1/cnt[14]:ALn,16181
Fast_clk_SW1/cnt[14]:CLK,13957
Fast_clk_SW1/cnt[14]:D,11657
Fast_clk_SW1/cnt[14]:EN,
Fast_clk_SW1/cnt[14]:LAT,
Fast_clk_SW1/cnt[14]:Q,13957
Fast_clk_SW1/cnt[14]:SD,
Fast_clk_SW1/cnt[14]:SLn,
Initial_blinking_SW2/cnt[13]:ADn,
Initial_blinking_SW2/cnt[13]:ALn,16181
Initial_blinking_SW2/cnt[13]:CLK,12428
Initial_blinking_SW2/cnt[13]:D,11580
Initial_blinking_SW2/cnt[13]:EN,
Initial_blinking_SW2/cnt[13]:LAT,
Initial_blinking_SW2/cnt[13]:Q,12428
Initial_blinking_SW2/cnt[13]:SD,
Initial_blinking_SW2/cnt[13]:SLn,
Initial_blinking_SW2/tmp_clk:ADn,
Initial_blinking_SW2/tmp_clk:ALn,16181
Initial_blinking_SW2/tmp_clk:CLK,17326
Initial_blinking_SW2/tmp_clk:D,13693
Initial_blinking_SW2/tmp_clk:EN,
Initial_blinking_SW2/tmp_clk:LAT,
Initial_blinking_SW2/tmp_clk:Q,17326
Initial_blinking_SW2/tmp_clk:SD,
Initial_blinking_SW2/tmp_clk:SLn,
Initial_blinking_SW2/cnt[15]:ADn,
Initial_blinking_SW2/cnt[15]:ALn,16181
Initial_blinking_SW2/cnt[15]:CLK,11322
Initial_blinking_SW2/cnt[15]:D,11603
Initial_blinking_SW2/cnt[15]:EN,
Initial_blinking_SW2/cnt[15]:LAT,
Initial_blinking_SW2/cnt[15]:Q,11322
Initial_blinking_SW2/cnt[15]:SD,
Initial_blinking_SW2/cnt[15]:SLn,
Fast_clk_SW2/cnt_RNIJNPU42[20]:A,
Fast_clk_SW2/cnt_RNIJNPU42[20]:B,11949
Fast_clk_SW2/cnt_RNIJNPU42[20]:C,16312
Fast_clk_SW2/cnt_RNIJNPU42[20]:CC,11587
Fast_clk_SW2/cnt_RNIJNPU42[20]:P,11949
Fast_clk_SW2/cnt_RNIJNPU42[20]:S,11587
Fast_clk_SW2/cnt_RNIJNPU42[20]:UB,16312
Initial_blinking_SW2/un14_cntlto31_0_o2_4:A,11469
Initial_blinking_SW2/un14_cntlto31_0_o2_4:B,11322
Initial_blinking_SW2/un14_cntlto31_0_o2_4:C,11419
Initial_blinking_SW2/un14_cntlto31_0_o2_4:Y,11322
Display_out/green_led1:ADn,
Display_out/green_led1:ALn,16181
Display_out/green_led1:CLK,
Display_out/green_led1:D,17323
Display_out/green_led1:EN,
Display_out/green_led1:LAT,
Display_out/green_led1:Q,
Display_out/green_led1:SD,
Display_out/green_led1:SLn,
Initial_blinking_SW2/cnt_RNIR9F76[3]:A,
Initial_blinking_SW2/cnt_RNIR9F76[3]:B,12558
Initial_blinking_SW2/cnt_RNIR9F76[3]:C,15847
Initial_blinking_SW2/cnt_RNIR9F76[3]:CC,13168
Initial_blinking_SW2/cnt_RNIR9F76[3]:P,
Initial_blinking_SW2/cnt_RNIR9F76[3]:S,12558
Initial_blinking_SW2/cnt_RNIR9F76[3]:UB,15847
Initial_blinking_SW1/cnt_RNIIU15A1[17]:A,
Initial_blinking_SW1/cnt_RNIIU15A1[17]:B,11565
Initial_blinking_SW1/cnt_RNIIU15A1[17]:C,16160
Initial_blinking_SW1/cnt_RNIIU15A1[17]:CC,11453
Initial_blinking_SW1/cnt_RNIIU15A1[17]:P,11565
Initial_blinking_SW1/cnt_RNIIU15A1[17]:S,11453
Initial_blinking_SW1/cnt_RNIIU15A1[17]:UB,16160
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[0],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[10],11663
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[11],11591
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[1],13558
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[2],13484
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[3],13162
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[4],13082
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[5],13023
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[6],11827
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[7],11719
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[8],11648
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CC[9],11762
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CI,
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:CO,11372
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[0],12718
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[10],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[11],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[1],11372
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[2],11587
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[3],11558
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[4],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[5],
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[6],11584
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[7],11611
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[8],11707
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:P[9],11699
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[0],13491
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[10],16121
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[11],16272
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[1],15914
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[2],16061
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[3],15965
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[4],16010
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[5],16110
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[6],15982
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[7],16050
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[8],16178
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_0:UB[9],16108
Clear_outputs/reset_RNO:A,
Clear_outputs/reset_RNO:B,
Clear_outputs/reset_RNO:Y,
Initial_blinking_SW1/cnt[24]:ADn,
Initial_blinking_SW1/cnt[24]:ALn,16180
Initial_blinking_SW1/cnt[24]:CLK,13740
Initial_blinking_SW1/cnt[24]:D,11212
Initial_blinking_SW1/cnt[24]:EN,
Initial_blinking_SW1/cnt[24]:LAT,
Initial_blinking_SW1/cnt[24]:Q,13740
Initial_blinking_SW1/cnt[24]:SD,
Initial_blinking_SW1/cnt[24]:SLn,
